0.1,5.726977149
0.2,5.451391016
0.3,5.268948381
0.4,8.522301974
0.5,8.888857507
0.6,11.20634597
0.7,13.83745495
0.8,14.13499226
0.9,13.41374698
1,12.7198408
1.1,9.671884968
1.2,8.206222419
1.3,6.057714947
1.4,5.928402975
1.5,4.450516096
1.6,4.758844484
1.7,7.788150805
1.8,8.629901355
1.9,10.471519
2,11.6626857
2.1,13.94041078
2.2,12.79412449
2.3,12.71650125
2.4,10.42173634
2.5,7.934935177
2.6,7.366601573
2.7,5.108323902
2.8,5.609689017
2.9,4.470001691
3,7.460556729
3.1,8.890990059
3.2,10.12523049
3.3,12.86572276
